countrygrouprelationid,countrygroupid,countryid
454,5400,705
455,5400,715
456,5400,724
457,5400,744
458,5400,752
459,5400,756
460,5400,804
461,5400,826
462,5400,810
463,5400,155.01
464,5400,890
465,5707,40
466,5707,56
467,5707,58
468,5707,100
469,5707,191
470,5707,196
471,5707,203
472,5707,208
473,5707,233
474,5707,246
475,5707,250
476,5707,276
477,5707,280
478,5707,278
479,5707,300
480,5707,348
481,5707,372
482,5707,380
483,5707,428
484,5707,440
485,5707,442
486,5707,470
487,5707,528
488,5707,616
489,5707,620
490,5707,642
491,5707,703
492,5707,705
493,5707,724
494,5707,752
495,9010,20
496,9010,28
497,9010,32
498,9010,36
499,9010,40
500,9010,44
501,9010,48
502,9010,52
503,9010,56
504,9010,60
505,9010,96
506,9010,124
507,9010,152
508,9010,344
509,9010,446
510,9010,158
511,9010,191
512,9010,196
513,9010,203
514,9010,208
515,9010,233
516,9010,246
517,9010,250
518,9010,258
519,9010,276
520,9010,300
521,9010,304
522,9010,348
523,9010,352
524,9010,372
525,9010,376
526,9010,380
527,9010,392
528,9010,414
529,9010,428
530,9010,440
531,9010,442
532,9010,470
533,9010,528
534,9010,540
535,9010,554
536,9010,578
537,9010,512
538,9010,585
539,9010,591
540,9010,616
541,9010,620
542,9010,630
543,9010,634
544,9010,410
545,9010,659
546,9010,682
547,9010,690
548,9010,702
549,9010,703
550,9010,705
551,9010,724
552,9010,752
553,9010,756
554,9010,780
555,9010,784
556,9010,826
557,9010,840
558,9010,858
559,5802,4
560,5802,51
561,5802,31
562,5802,64
563,5802,68
564,5802,72
565,5802,854
566,5802,108
567,5802,140
568,5802,148
569,5802,748
570,5802,231
571,5802,398
572,5802,417
573,5802,418
574,5802,426
575,5802,454
576,5802,466
577,5802,496
578,5802,524
579,5802,562
580,5802,807
581,5802,600
582,5802,498
583,5802,646
584,5802,728
585,5802,762
586,5802,795
587,5802,800
588,5802,860
589,5802,894
590,5802,716
591,5205,660
592,5205,28
593,5205,32
594,5205,533
595,5205,44
596,5205,52
597,5205,84
598,5205,68
599,5205,535
600,5205,76
601,5205,92
602,5205,136
603,5205,152
604,5205,170
605,5205,188
606,5205,192
607,5205,531
608,5205,212
609,5205,214
610,5205,218
611,5205,222
612,5205,238
613,5205,254
614,5205,308
615,5205,312
616,5205,320
617,5205,328
618,5205,332
619,5205,340
620,5205,388
621,5205,474
622,5205,484
623,5205,500
624,5205,530
625,5205,558
626,5205,591
627,5205,600
628,5205,604
629,5205,630
630,5205,652
631,5205,659
632,5205,662
633,5205,670
634,5205,663
635,5205,534
636,5205,239
637,5205,740
638,5205,780
639,5205,796
640,5205,850
641,5205,858
642,5205,862
643,5801,4
644,5801,24
645,5801,50
646,5801,204
647,5801,64
648,5801,854
649,5801,108
650,5801,116
651,5801,140
652,5801,148
653,5801,174
654,5801,180
655,5801,262
656,5801,232
657,5801,231
658,5801,230
659,5801,270
660,5801,324
661,5801,624
662,5801,332
663,5801,296
664,5801,418
665,5801,426
666,5801,430
667,5801,450
668,5801,454
669,5801,466
670,5801,478
671,5801,508
672,5801,104
673,5801,524
674,5801,562
675,5801,646
676,5801,678
677,5801,686
678,5801,694
679,5801,90
680,5801,706
681,5801,728
682,5801,729
683,5801,736
684,5801,626
685,5801,768
686,5801,798
687,5801,800
688,5801,834
689,5801,548
690,5801,887
691,5801,886
692,5801,720
693,5801,894
694,5858,4
695,5858,204
696,5858,854
697,5858,108
698,5858,140
699,5858,148
700,5858,174
701,5858,408
702,5858,180
703,5858,232
704,5858,231
705,5858,270
706,5858,324
707,5858,624
708,5858,332
709,5858,430
710,5858,450
711,5858,454
712,5858,466
713,5858,508
714,5858,524
715,5858,562
716,5858,646
717,5858,686
718,5858,694
