countrygrouprelationid,countrygroupid,countryid
1865,5000,642
1866,5000,643
1867,5000,646
1868,5000,652
1869,5000,654
1870,5000,659
1871,5000,662
1872,5000,666
1873,5000,670
1874,5000,663
1875,5000,882
1876,5000,674
1877,5000,678
1878,5000,682
1879,5000,686
1880,5000,688
1881,5000,891
1882,5000,690
1883,5000,694
1884,5000,702
1885,5000,534
1886,5000,703
1887,5000,705
1888,5000,90
1889,5000,706
1890,5000,710
1891,5000,283
1892,5000,239
1893,5000,728
1894,5000,715
1895,5000,724
1896,5000,144
1897,5000,729
1898,5000,736
1899,5000,740
1900,5000,744
1901,5000,752
1902,5000,756
1903,5000,760
1904,5000,762
1905,5000,764
1906,5000,626
1907,5000,768
1908,5000,772
1909,5000,776
1910,5000,780
1911,5000,788
1912,5000,792
1913,5000,795
1914,5000,796
1915,5000,798
1916,5000,800
1917,5000,804
1918,5000,784
1919,5000,826
1920,5000,834
1921,5000,581
1922,5000,840
1923,5000,850
1924,5000,858
1925,5000,810
1926,5000,860
1927,5000,548
1928,5000,862
1929,5000,704
1930,5000,872
1931,5000,876
1932,5000,875
1933,5000,155.01
1934,5000,732
1935,5000,887
1936,5000,886
1937,5000,720
1938,5000,890
1939,5000,894
1940,5000,716
