forestfireid,countryid,elementid,itemid,fireyear,burntarea
166,4,7246,6760,1995,67.6809
167,4,7246,6760,1996,0
168,4,7246,6760,1997,0
169,4,7246,6760,1998,0
170,4,7246,6760,1999,0
171,4,7246,6760,2000,0
172,4,7246,6760,2001,42.9273
173,4,7246,6760,2002,0
174,4,7246,6760,2003,0
175,4,7246,6760,2004,0
176,4,7246,6760,2005,0
177,4,7246,6760,2006,42.9163
178,4,7246,6760,2007,0
179,4,7246,6760,2008,171.7165
180,4,7246,6760,2009,64.38
181,4,7246,6760,2010,0
182,4,7246,6760,2011,686.6659
183,4,7246,6760,2012,0
184,4,7246,6760,2013,0
185,4,7246,6760,2014,0
186,4,7246,6760,2015,0
187,4,7246,6760,2016,214.5998
188,4,7246,6760,2017,42.9303
189,4,7246,6760,2018,0
190,4,7246,6760,2019,0
191,4,7246,6760,2020,128.7792
192,4,7246,6760,2021,364.7891
193,4,7246,6789,1990,30.3685
194,4,7246,6789,1991,30.3685
195,4,7246,6789,1992,30.3685
196,4,7246,6789,1993,30.3685
197,4,7246,6789,1994,30.3685
198,4,7246,6789,1995,30.3685
199,4,7246,6789,1996,195.1261
200,4,7246,6789,1997,116.6733
201,4,7246,6789,1998,169.2473
202,4,7246,6789,1999,191.4808
203,4,7246,6789,2000,117.0523
204,4,7246,6789,2001,0
205,4,7246,6789,2002,0
206,4,7246,6789,2003,0
207,4,7246,6789,2004,0
208,4,7246,6789,2005,0
209,4,7246,6789,2006,0
210,4,7246,6789,2007,0
211,4,7246,6789,2008,0
212,4,7246,6789,2009,0
213,4,7246,6789,2010,0
214,4,7246,6789,2011,0
215,4,7246,6789,2012,0
216,4,7246,6789,2013,0
217,4,7246,6789,2014,0
218,4,7246,6789,2015,0
219,4,7246,6789,2016,0
220,4,7246,6789,2017,0
221,4,7246,6789,2018,0
222,4,7246,6789,2019,0
223,4,7246,6789,2020,0
224,4,7246,6789,2021,0
225,4,7246,6993,1990,0
226,4,7246,6993,1991,0
227,4,7246,6993,1992,0
228,4,7246,6993,1993,0
229,4,7246,6993,1994,0
230,4,7246,6993,1995,0
231,4,7246,6993,1996,0
232,4,7246,6993,1997,0
233,4,7246,6993,1998,0
234,4,7246,6993,1999,0
235,4,7246,6993,2000,0
236,4,7246,6993,2001,0
237,4,7246,6993,2002,0
238,4,7246,6993,2003,0
239,4,7246,6993,2004,0
240,4,7246,6993,2005,0
241,4,7246,6993,2006,0
242,4,7246,6993,2007,0
243,4,7246,6993,2008,0
244,4,7246,6993,2009,0
245,4,7246,6993,2010,0
246,4,7246,6993,2011,0
247,4,7246,6993,2012,0
248,4,7246,6993,2013,0
249,4,7246,6993,2014,0
250,4,7246,6993,2015,0
251,4,7246,6993,2016,0
252,4,7246,6993,2017,0
253,4,7246,6993,2018,0
254,4,7246,6993,2019,0
255,4,7246,6993,2020,0
256,4,7246,6993,2021,0
257,8,7246,6796,1990,0
258,8,7246,6796,1991,0
259,8,7246,6796,1992,0
260,8,7246,6796,1993,0
261,8,7246,6796,1994,0
262,8,7246,6796,1995,0
263,8,7246,6796,1996,0
264,8,7246,6796,1997,0
265,8,7246,6796,1998,0
266,8,7246,6796,1999,0
267,8,7246,6796,2000,0
268,8,7246,6796,2001,0
269,8,7246,6796,2002,0
270,8,7246,6796,2003,0
271,8,7246,6796,2004,0
272,8,7246,6796,2005,0
273,8,7246,6796,2006,0
274,8,7246,6796,2007,0
275,8,7246,6796,2008,0
276,8,7246,6796,2009,0
277,8,7246,6796,2010,0
278,8,7246,6796,2011,0
279,8,7246,6796,2012,0
280,8,7246,6796,2013,0
281,8,7246,6796,2014,0
282,8,7246,6796,2015,0
283,8,7246,6796,2016,0
284,8,7246,6796,2017,0
285,8,7246,6796,2018,0
286,8,7246,6796,2019,0
287,8,7246,6796,2020,0
288,8,7246,6796,2021,0
289,8,7246,6797,1990,769.8441
290,8,7246,6797,1991,769.8441
291,8,7246,6797,1992,769.8441
